ilan_No;ilan_tarihi;marka;seri;model;yil;yakit;vites;km;renk;motor_gucu;motor_hacim;kasa_tipi;fiyat
11282096;16.Nis.19;BMW;3;320d Standart;2000;1;1;340.000;3;136;1951;sedan;50.000
11281940;16.Nis.19;BMW;3;320d Standart;2003;1;0;257.000;2;150;1995;sedan;50.000
11216219;16.Nis.19;BMW;3;320d Standart;2004;1;0;368.000;2;150;1995;sedan;53.000
11212972;17.Nis.19;BMW;3;320d Standart;2011;1;0;205.202;1;184;1995;sedan;84.500
11154937;16.Nis.19;BMW;3;320d Standart;2006;1;0;270.000;2;163;1995;sedan;68.750
11271559;15.Nis.19;BMW;3;320d Standart;2006;1;0;201.500;2;163;1995;sedan;69.999
10864502;15.Nis.19;BMW;3;320d Standart;2002;1;0;207.000;3;150;2000;sedan;49.500
11259954;12.Nis.19;BMW;3;320d Standart;2012;1;0;200.000;1;200;2000;sedan;112.500
11257112;12.Nis.19;BMW;3;320d Standart;2002;1;0;365.000;3;150;1995;sedan;46.000
11256343;12.Nis.19;BMW;3;320d Standart;2003;1;0;222.100;6;150;1995;sedan;47.500
11254862;12.Nis.19;BMW;3;320d Standart;2007;1;0;177.000;1;177;1995;sedan;70.500
11231641;12.Nis.19;BMW;3;320d Standart;2011;1;0;115.000;1;200;2000;sedan;99.000
11254550;11.Nis.19;BMW;3;320d Standart;2015;1;0;78.609;2;200;2000;sedan;175.000
11251942;11.Nis.19;BMW;3;320d Standart;2005;1;1;210.095;8;150;2000;sedan;62.500
10952983;11.Nis.19;BMW;3;320d Standart;2009;1;0;149.000;1;200;2000;sedan;113.900
10751151;11.Nis.19;BMW;3;320d Standart;2010;1;0;199.000;2;200;2000;sedan;79.500
11247210;10.Nis.19;BMW;3;320d Standart;2012;1;0;195.000;1;200;2000;sedan;129.750
11246411;10.Nis.19;BMW;3;320d Standart;1998;1;1;154.000;3;150;2000;sedan;47.500
11241753;10.Nis.19;BMW;3;320d Standart;2009;1;0;145.000;2;177;1995;sedan;98.000
10801402;10.Nis.19;BMW;3;320d Standart;2007;1;0;310.000;2;163;1995;sedan;72.750
10463089;10.Nis.19;BMW;3;320d Standart;2008;1;0;238.000;1;200;2000;sedan;93.500
11238603;09.Nis.19;BMW;3;320d Standart;2006;1;0;235.000;2;175;2000;sedan;73.000
11238037;09.Nis.19;BMW;3;320d Standart;2006;1;0;235.000;6;163;1995;sedan;78.500
11235364;09.Nis.19;BMW;3;320d Standart;2010;1;0;139.000;3;184;1995;sedan;116.000
10817140;09.Nis.19;BMW;3;320d Standart;2015;1;0;187.876;2;184;1995;sedan;139.000
11235217;09.Nis.19;BMW;3;320d Standart;2003;1;1;209.000;3;150;1995;sedan;45.000
11231311;08.Nis.19;BMW;3;320d Standart;2009;1;0;160.400;1;200;2000;sedan;132.000
11230429;08.Nis.19;BMW;3;320d Standart;2006;1;0;223.000;3;175;2000;sedan;81.000
11227131;08.Nis.19;BMW;3;320d Standart;2006;1;0;235.000;1;175;2000;sedan;64.000
11225125;08.Nis.19;BMW;3;320d Standart;2006;1;0;280.000;2;163;1995;sedan;64.750
11221914;07.Nis.19;BMW;3;320d Standart;2005;1;0;222.000;2;163;1995;sedan;67.500
11221095;07.Nis.19;BMW;3;320d Standart;2006;1;0;208.000;7;163;1995;sedan;83.500
11220505;06.Nis.19;BMW;3;320d Standart;2006;1;0;177.000;7;163;1995;sedan;64.950
11217433;06.Nis.19;BMW;3;320d Standart;2005;1;0;217.000;5;150;1995;sedan;55.000
11215957;06.Nis.19;BMW;3;320d Standart;2003;1;0;254.000;2;150;1995;sedan;50.000
10772313;06.Nis.19;BMW;3;320d Standart;2003;1;0;370.000;11;150;2000;sedan;52.500
11212608;05.Nis.19;BMW;3;320d Standart;2005;1;0;317.000;3;150;1995;sedan;58.000
11212587;05.Nis.19;BMW;3;320d Standart;2005;1;0;280.000;2;150;1995;sedan;41.000
11209937;05.Nis.19;BMW;3;320d Standart;2004;1;0;335.000;2;150;1995;sedan;53.500
11204320;04.Nis.19;BMW;3;320d Standart;2007;1;1;192.000;3;200;2000;sedan;69.450
10590945;04.Nis.19;BMW;3;320d Standart;2007;1;1;192.000;3;177;1995;sedan;69.500
11199001;03.Nis.19;BMW;3;320d Standart;2010;1;1;230.000;1;184;1995;sedan;75.500
11196723;03.Nis.19;BMW;3;320d Standart;2006;1;0;340.000;9;163;1995;sedan;63.000
11188610;02.Nis.19;BMW;3;320d Standart;2006;1;0;243.000;3;163;1995;sedan;65.000
10927039;02.Nis.19;BMW;3;320d Standart;2012;1;0;105.000;1;184;1995;sedan;136.500
11186432;01.Nis.19;BMW;3;320d Standart;2001;1;0;224.000;5;136;1951;sedan;50.000
11184130;01.Nis.19;BMW;3;320d Standart;2012;1;0;190.000;1;184;1995;sedan;108.000
11176531;30.Mar.19;BMW;3;320d Standart;2011;1;0;203.000;1;184;1995;sedan;87.500
11175991;30.Mar.19;BMW;3;320d Standart;2006;1;0;288.000;2;163;1995;sedan;75.500
11171415;29.Mar.19;BMW;3;320d Standart;2010;1;0;216.000;2;177;1995;sedan;73.950
10999249;29.Mar.19;BMW;3;320d Standart;2004;1;0;224.000;6;150;1995;sedan;54.750
11166318;28.Mar.19;BMW;3;320d Standart;2011;1;0;176.000;2;184;1995;sedan;99.000
11166079;28.Mar.19;BMW;3;320d Standart;2014;1;0;120.000;1;200;2000;sedan;159.000
11166058;28.Mar.19;BMW;3;320d Standart;2004;1;1;164.000;2;150;1995;sedan;65.000
11163987;28.Mar.19;BMW;3;320d Standart;2003;1;0;325.000;1;175;2000;sedan;61.250
11042989;28.Mar.19;BMW;3;320d Standart;2006;1;0;287.000;1;163;1995;sedan;73.500
10560236;27.Mar.19;BMW;3;320d Standart;2013;1;0;130.000;2;184;1995;sedan;145.000
11150164;26.Mar.19;BMW;3;320d Standart;2011;1;0;188.000;3;184;1995;sedan;93.500
11149294;26.Mar.19;BMW;3;320d Standart;2004;1;0;282.000;4;150;1995;sedan;62.500
11148577;26.Mar.19;BMW;3;320d Standart;2009;1;0;182.000;8;177;1995;sedan;159.000
11148174;26.Mar.19;BMW;3;320d Standart;2011;1;0;198.000;2;184;1995;sedan;83.000
11146546;26.Mar.19;BMW;3;320d Standart;2012;1;0;197.000;1;184;1995;sedan;117.750
11069083;26.Mar.19;BMW;3;320d Standart;2008;1;0;270.000;2;177;1995;sedan;69.000
11144603;25.Mar.19;BMW;3;320d Standart;2005;1;0;169.000;2;150;2000;sedan;62.500
11142564;25.Mar.19;BMW;3;320d Standart;2009;1;0;185.000;2;177;1995;sedan;124.500
11142256;25.Mar.19;BMW;3;320d Standart;2007;1;0;318.000;2;177;1995;sedan;79.500
11140747;25.Mar.19;BMW;3;320d Standart;2006;1;0;267.000;2;163;1995;sedan;67.000
11140414;25.Mar.19;BMW;3;320d Standart;2003;1;0;425.000;8;150;1995;sedan;53.000
11124458;22.Mar.19;BMW;3;320d Standart;2002;1;0;280.000;3;150;1995;sedan;47.000
10679775;22.Mar.19;BMW;3;320d Standart;2013;1;0;165.000;1;184;1995;sedan;130.000
11120221;21.Mar.19;BMW;3;320d Standart;2010;1;0;129.000;1;177;1995;sedan;129.500
11115760;21.Mar.19;BMW;3;320d Standart;2013;1;0;149.000;2;184;1995;sedan;153.000
11111066;20.Mar.19;BMW;3;320d Standart;2006;1;0;223.000;2;163;1995;sedan;72.500
11109505;20.Mar.19;BMW;3;320d Standart;2011;1;0;196.000;1;200;2000;sedan;87.500
11098548;19.Mar.19;BMW;3;320d Standart;2009;1;0;165.500;1;177;1995;sedan;144.500
10683894;19.Mar.19;BMW;3;320d Standart;2003;1;0;270.000;2;150;1995;sedan;47.000
